descSucursal,descProyecto,Actividad,tipoRestriccion,fechaRegistro
BOGOTA ,LA TERRA ALSACIA RESERVADO,T 1-2 Jardines levantamiento mamposteria,Diseños,2022-12-16 00:00:00
BOGOTA ,LYON CIUDAD LA SALLE,SOTANO PLZ1 E2 - EXCAVACION MECANICA CIELO ABIERTO,Contratos,
BOGOTA ,PEÑAZUL LA ALDEA,Excavacion de cimentacion superficial  Piscinas,Diseños,2023-01-03 00:00:00
BOGOTA ,LYON 2 CIUDAD LA SALLE,T1 INSTALACIONES REDES HIDROSANITARIAS Y RCI,Materiales,2023-01-11 00:00:00
BOGOTA ,SAN LUCAS LA QUINTA,T14 PROLON SANITARIASyLLUVIAS,Materiales,2023-01-05 00:00:00
BOGOTA ,SAN LUCAS LA QUINTA,TANQUE INST EQUIPOS BOMBEO,Otra,2023-01-05 00:00:00
BOGOTA ,ABADIA SAN RAFAEL,T2 VENTANAS FACHADA,Materiales,2022-11-22 00:00:00
BOGOTA ,CADIZ,T2 IMPERM CUB,Contratos,2023-01-30 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,T3 PREHUECOS PILOTES HINCADO,Otra,2022-12-05 00:00:00
BOGOTA ,CADIZ,T4 ASEO,Contratos,2023-01-10 00:00:00
BOGOTA ,PEÑAZUL LA ALDEA,T9 Muro placa piso 1-2-3,Materiales,2023-01-18 00:00:00
BOGOTA ,LA CABRERA,EDIFICIO ZONA SOCIAL- Aseo,Contratos,2024-07-26 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T1 SOLADO VIGAS CIM,Materiales,2023-02-16 00:00:00
BOGOTA ,LYON CIUDAD LA SALLE,T1 MUROS Y PLACAS PISO 1,Materiales,2023-02-15 00:00:00
BOGOTA ,ABADIA SAN RAFAEL,E1 CERRAMIENTO DEFINITIVO,Materiales,2023-01-24 00:00:00
BOGOTA ,LYON CIUDAD LA SALLE,T1 MUROS Y PLACAS PISOS 2 a 17,Contratos,2022-12-06 00:00:00
BOGOTA ,PASEO DE SEVILLA,T-6 REVOQUE PISO 12,Contratos,2023-03-07 00:00:00
BOGOTA ,CADIZ,T5 IMPERM CUB,Materiales,2023-02-28 00:00:00
BOGOTA ,PEÑAZUL LA ALDEA,T8 Aseo grueso,Contratos,2023-01-18 00:00:00
BOGOTA ,ABADIA SAN RAFAEL,T5 GRANIPLAST PF,Contratos,2023-03-07 00:00:00
BOGOTA ,ABADIA SAN RAFAEL,T7 GRANIPLAST FACHADA,Contratos,2023-03-07 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T1 SOLADO VIGAS CIM,Materiales,2023-03-03 00:00:00
BOGOTA ,MONTPELLIER CIUDAD LA SALLE,IZAJE TG1 TORRE 1,Materiales,2023-03-07 00:00:00
BOGOTA ,URBANISMO EXTERNO SAN RAFAEL,TRAMO POZO ALL 19-25 INST RED SUMINISTRO ANDEN,Materiales,2022-11-01 00:00:00
BOGOTA ,SAN LUCAS LA QUINTA,T13 MAMPOSTERIA,Materiales,2023-03-09 00:00:00
BOGOTA ,ABADIA SAN RAFAEL,T7 MESON COCINAyESTUFA,Contratos,2022-11-29 00:00:00
BOGOTA ,LA ALMERIA ALSACIA RESERVADO,T1 PROLONGACIONES ELÉCTRICAS PISO 1-22,Materiales,2023-03-01 00:00:00
BOGOTA ,ABADIA SAN RAFAEL,T7 CARGUE PISOS,Contratos,2022-11-29 00:00:00
BOGOTA ,PEÑON DE ALICANTE,ED PARQ INST HIDRAULICAS,Contratos,2023-03-03 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T1 CAJAS DE INSPECCION,Materiales,2023-03-03 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T1 RED GAS APTOS PUNTO,Contratos,2023-03-03 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T1 RED HID APTOS RED,Contratos,2023-03-03 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T2 ARMADO Y FUNDIDA ESCALERAS P1-P12,Contratos,2023-03-03 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T2 INST ELEC APTOS FUNDIDA,Contratos,2023-03-03 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T2 RED GAS MONTANTE ACOMETIDA,Contratos,2023-03-03 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T2 SOLADO VIGAS CIM,Contratos,2023-03-03 00:00:00
BOGOTA ,PEÑON DE ALICANTE,TANQUE RELLENO,Contratos,2023-03-03 00:00:00
BOGOTA ,LYON 2 CIUDAD LA SALLE,T1 MUROS Y PLACAS PISOS 2 a 17,Equipos,2023-03-21 00:00:00
BOGOTA ,LYON CIUDAD LA SALLE,T1 MAMPOSTERIA FACHADA PISOS 1 a 17,Otra,2023-01-31 00:00:00
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,PLACA PUNTAL P1 - Z6,Seguridad y Espacio,2023-03-21 00:00:00
BOGOTA ,PASEO DE SEVILLA,T 6 Rellenos redes de acued-ci,Contratos,2023-02-28 00:00:00
BOGOTA ,URBANISMO EXTERNO LOTE 5 BANCA,PARQUE E1 MOVIMIENTO DE TIERRAS - EXCAVACION TUBERIAS,Contratos,2023-03-09 00:00:00
BOGOTA ,PEÑAZUL LA ALDEA,T8 Pisos ceramica - piso 7-8-9,Materiales,2023-01-18 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T1 INST ELEC APTOS FUNDIDA,Contratos,2023-03-03 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T1 SOLADO VIGAS CIM,Contratos,2023-03-03 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T2 RED GAS MONTANTE ACOMETIDA,Contratos,2023-03-03 00:00:00
BOGOTA ,PEÑON DE ALICANTE,TANQUE EXCAVACION,Contratos,2023-03-03 00:00:00
BOGOTA ,ABADIA SAN RAFAEL,T7 MAMP FACHADA,Contratos,2022-12-06 00:00:00
BOGOTA ,PASEO DE SEVILLA,Edif - Dotacion Gimnasio,Materiales,2023-02-28 00:00:00
BOGOTA ,PASEO DE SEVILLA,T-6 SUPER BOARD PUNTO FIJO,Contratos,2023-02-28 00:00:00
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,PLACA PUNTAL P1 - Z6,Seguridad y Espacio,2023-04-04 00:00:00
BOGOTA ,LYON CIUDAD LA SALLE,T1 ENCHAPE PISOS COCINA PISO 1 A 17,Materiales,2023-04-10 00:00:00
BOGOTA ,URBANISMO EXTERNO SAN RAFAEL,TRAMO POZO ALL 16-23 RED GAS,Otra,2023-03-01 00:00:00
BOGOTA ,URBANISMO EXTERNO SAN RAFAEL,TRAMO POZO ALL 24-32 EXCAVACION CAJA ANDEN,Otra,2023-03-01 00:00:00
BOGOTA ,URBANISMO EXTERNO SAN RAFAEL,TRAMO POZO ALL 25-27 INST BORDILLO,Otra,2023-03-01 00:00:00
BOGOTA ,URBANISMO EXTERNO SAN RAFAEL,TRAMO POZO ALL 27-35 INST BORDILLO,Otra,2023-03-01 00:00:00
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,PLACA PUNTAL P1 - Z11,Materiales,2023-04-10 00:00:00
BOGOTA ,LYON CIUDAD LA SALLE,T1 ENCHAPE PISOS COCINA PISO 1 A 17,Materiales,2023-04-04 00:00:00
BOGOTA ,LYON 2 CIUDAD LA SALLE,T1 INST. PUERTAS ACCESO Y CERRADURA PISO 1 A 17,Materiales,2023-10-02 00:00:00
BOGOTA ,PROVENZA PRESTIGE,Z.Aire Libre- Inst. Juegos infantiles,Materiales,2023-03-08 00:00:00
BOGOTA ,LYON CIUDAD LA SALLE,SOTANO - Instalacion Topellantas,Materiales,2023-04-10 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T2 ARMADO Y FUNDIDA ESCALERAS P1-P12,Equipos,2023-03-03 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,T1 MUROS Y PLACAS PISOS 2 a 15,Contratos,2023-04-04 00:00:00
BOGOTA ,PASEO DE SEVILLA,T-6 REVOQUE PISO 12,Contratos,2023-02-28 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T1-2-3 IZAJE TORRE GRUA,Diseños,2023-03-16 00:00:00
BOGOTA ,LYON 2 CIUDAD LA SALLE,EDIF COMUNAL 2 - ARMADA Y FUNDIDA PILOTES,Otra,2023-04-24 00:00:00
BOGOTA ,CADIZ,T5 ESCOTILLA CUBIERTA,Materiales,2023-01-10 00:00:00
BOGOTA ,LA ALMERIA ALSACIA RESERVADO,P.SOTANOS - PLACA CABEZAL,Materiales,2023-03-01 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T2 ARMADO Y FUNDIDA PLACA ANTEPISO,Mano de obra,2023-03-03 00:00:00
BOGOTA ,SAN LUCAS LA QUINTA,CH LAVADO E IMPERM FACHADA,Contratos,2023-03-09 00:00:00
BOGOTA ,CADIZ,T3 GRANIPLAST FACHADA,Contratos,2023-03-07 00:00:00
BOGOTA ,LYON CIUDAD LA SALLE,T1 ESTRUCTURA CIELO RASO PISO 1 A 17,Contratos,2023-04-04 00:00:00
BOGOTA ,SAN LUCAS LA QUINTA,T16 MONTANTEyPRUEBAS RCI,Materiales,2023-05-04 00:00:00
BOGOTA ,PEÑON DE ALICANTE,PORT CIMENTACION,Contratos,2022-12-22 00:00:00
BOGOTA ,LA ALMERIA ALSACIA RESERVADO,T1 MAMPOSTERÍA INTERIOR PISO 1-22,Materiales,2023-05-09 00:00:00
